n_age,b_gender,n_income,n_daysWithoutFrequency,n_lifetimeValue,b_useByTime,b_waterActivities,b_fitnessActivities,b_teamActivities,b_combatActivities,n_allowedWeeklyVisits,n_allowedVisits,n_realVisits,n_renewals,b_dropout,n_timeAsCustomer,c_timeAsCustomer,n_recency,c_recency,n_frequenciesWeek,c_frequenciesWeek,n_classesWeek,c_classesWeek,n_classesVisit,c_classesVisit,n_ratioUtilization,c_utilization,n_spentPerMonth,b_rareActivities
3.0,0,0.0,36.0,197.1,0,1.0,0.0,0.0,0.0,2.0,19.42,3.0,0.0,1,150.0,3-6m,1223,>12m,0.6066666666666667,0.5-1,0.6066666666666667,0.5-1,1.0,0.5-1,15.447991761071059,<25%,39.42,0.0
22.0,1,2530.0,29.0,1299.4,0,1.0,0.0,0.0,0.0,7.0,60.97,30.0,4.0,1,1051.0,12m+,822,>12m,2.7440532825880113,2-3,0.0,0,0.0,0,49.204526816467116,25-50%,37.090390104662234,0.0
9.0,0,0.0,5.0,708.2,0,1.0,0.0,0.0,0.0,2.0,17.42,6.0,2.0,0,775.0,12m+,5,<1w,0.5780645161290323,0.5-1,0.5780645161290323,0.5-1,1.0,0.5-1,34.44316877152698,25-50%,27.4141935483871,0.0
3.0,0,0.0,5.0,1171.45,0,1.0,0.0,0.0,0.0,2.0,17.140000000000004,7.0,3.0,0,1056.0,12m+,5,<1w,0.7689393939393939,0.5-1,0.6496212121212122,0.5-1,0.8448275862068966,0.5-1,40.84014002333721,25-50%,33.27982954545455,0.0
37.0,0,3180.0,343.0,121.1,0,0.0,1.0,0.0,0.0,1.0,8.71,0.0,1.0,1,348.0,6-12m,1849,>12m,0.040229885057471264,<0.1,0.0,0,0.0,0,0.0,<25%,10.439655172413792,1.0
23.0,1,2110.0,289.0,85.9,1,0.0,1.0,0.0,0.0,7.0,41.02,6.0,2.0,1,996.0,12m+,381,>12m,0.04919678714859438,<0.1,0.0,0,0.0,0,14.62701121404193,<25%,2.5873493975903616,0.0
23.0,0,2020.0,13.0,93.6,0,0.0,1.0,0.0,0.0,7.0,23.03,5.0,0.0,1,151.0,3-6m,1200,>12m,0.6026490066225165,0.5-1,0.0,0,0.0,0,21.710811984368213,<25%,18.596026490066222,0.0
29.0,0,1490.0,31.0,101.6,0,0.0,1.0,0.0,0.0,7.0,62.02,14.0,0.0,1,151.0,3-6m,1218,>12m,1.3443708609271523,1-2,0.0,0,0.0,0,22.57336343115124,<25%,20.18543046357616,0.0
31.0,1,1500.0,42.0,1286.0,0,1.0,1.0,0.0,0.0,7.0,62.02,9.0,4.0,1,1201.0,12m+,93,3-12m,1.241465445462115,1-2,0.1398834304746045,0.1-0.5,0.11267605633802817,<0.5,14.511447920025798,<25%,32.123230641132395,0.0
49.0,1,4990.0,47.0,233.6,0,0.0,1.0,0.0,0.0,4.0,34.84,5.0,1.0,1,239.0,6-12m,1553,>12m,0.702928870292887,0.5-1,0.5564853556485355,0.5-1,0.7916666666666666,0.5-1,14.351320321469574,<25%,29.322175732217573,0.0
19.0,0,1600.0,13.0,73.9,0,0.0,1.0,0.0,0.0,7.0,34.02,6.0,1.0,1,217.0,6-12m,337,3-12m,0.38709677419354854,0.2-0.5,0.0,0,0.0,0,17.636684303350968,<25%,10.216589861751153,0.0
57.0,0,5690.0,102.0,160.4,0,1.0,0.0,0.0,0.0,7.0,59.01,0.0,2.0,1,241.0,6-12m,702,>12m,0.17427385892116182,0.1-0.2,0.0,0,0.0,0,0.0,<25%,19.966804979253116,0.0
31.0,1,3780.0,34.0,61.599999999999994,0,0.0,0.0,0.0,1.0,7.0,38.99,1.0,0.0,1,55.0,1-3m,295,3-12m,0.12727272727272726,0.1-0.2,0.0,0,0.0,0,2.564760194921775,<25%,33.599999999999994,0.0
22.0,1,1810.0,14.0,186.3,0,0.0,0.0,0.0,1.0,7.0,60.97,5.0,0.0,1,305.0,6-12m,471,>12m,0.5049180327868853,0.5-1,0.0,0,0.0,0,8.200754469411185,<25%,18.324590163934428,0.0
35.0,1,3270.0,51.0,218.6,0,0.0,1.0,0.0,0.0,4.0,34.84,7.0,1.0,1,232.0,6-12m,1557,>12m,0.603448275862069,0.5-1,0.603448275862069,0.5-1,1.0,0.5-1,20.0918484500574,<25%,28.267241379310345,0.0
20.0,1,1300.0,13.0,82.6,0,0.0,1.0,0.0,0.0,7.0,30.03,6.0,1.0,1,189.0,6-12m,1106,>12m,0.5185185185185185,0.5-1,0.0,0,0.0,0,19.98001998001998,<25%,13.11111111111111,0.0
15.0,1,0.0,33.0,257.8,0,1.0,0.0,0.0,0.0,2.0,17.42,3.0,3.0,1,776.0,12m+,1219,>12m,0.16237113402061856,0.1-0.2,0.16237113402061856,0.1-0.5,1.0,0.5-1,17.22158438576349,<25%,9.966494845360826,0.0
10.999999999999998,0,0.0,5.0,716.0999999999999,0,0.0,0.0,0.0,0.0,2.0,17.42,4.0,2.0,0,754.0,12m+,5,<1w,0.4827586206896552,0.2-0.5,0.0,0,0.0,0,22.96211251435132,<25%,28.4920424403183,0.0
8.0,1,0.0,6.0,1213.3,0,1.0,0.0,0.0,0.0,2.0,17.42,4.0,4.0,0,1191.0,12m+,6,<1w,0.6288832913518052,0.5-1,0.5407220822837951,0.5-1,0.8598130841121495,0.5-1,22.96211251435132,<25%,30.561712846347607,0.0
39.0,1,1670.0,53.0,61.599999999999994,0,0.0,1.0,0.0,0.0,7.0,60.97,6.0,0.0,1,95.0,3-6m,1297,>12m,1.4,1-2,0.0,0,0.0,0,9.840905363293423,<25%,19.45263157894737,0.0
20.0,1,1310.0,81.0,86.1,0,0.0,1.0,0.0,0.0,7.0,60.97,0.0,0.0,1,95.0,3-6m,724,>12m,0.22105263157894736,0.2-0.5,0.0,0,0.0,0,0.0,<25%,27.189473684210526,0.0
83.0,0,5080.0,1.0,692.2,0,0.0,0.0,0.0,0.0,7.0,59.01,46.0,3.0,0,1025.0,12m+,1,<1w,1.9873170731707317,1-2,0.0,0,0.0,0,77.9528893407897,>75%,20.259512195121953,1.0
